round,cards_remaining,markov_normal.decision_time_ms,markov_normal.decisions,markov_normal.result,markov_normal.capital_change,markov_arriesgado.decision_time_ms,markov_arriesgado.decisions,markov_arriesgado.result,markov_arriesgado.capital_change,markov_umbral.decision_time_ms,markov_umbral.decisions,markov_umbral.result,markov_umbral.capital_change,markov_hibrido.decision_time_ms,markov_hibrido.decisions,markov_hibrido.result,markov_hibrido.capital_change,hilo.decision_time_ms,hilo.decisions,hilo.result,hilo.capital_change,aleatorio1.decision_time_ms,aleatorio1.decisions,aleatorio1.result,aleatorio1.capital_change,aleatorio2.decision_time_ms,aleatorio2.decisions,aleatorio2.result,aleatorio2.capital_change,randomforest.decision_time_ms,randomforest.decisions,randomforest.result,randomforest.capital_change,markov_politica.decision_time_ms,markov_politica.decisions,markov_politica.result,markov_politica.capital_change
2206,110,46,3,-1,-5,0,1,0,0,2,2,0,0,2,1,-1,-5,0,2,-1,-50,0,1,-1,-3,0,1,-1,-5,36,1,1,7,0,0,0,0
2207,87,0,1,0,0,0,1,0,0,5,2,0,0,4,1,0,0,0,1,0,0,0,1,-1,-5,0,1,-1,-3,115,3,0,0,0,0,0,0
2208,65,0,1,1,5,31,2,1,5,4,1,1,5,8,1,1,5,0,2,1,40,0,1,1,5,0,1,-1,-3,38,1,-1,-3,0,0,0,0
2209,44,5,1,-1,-3,90,6,1,7,4,2,-1,-5,3,1,0,0,0,1,-1,-35,0,1,-1,-10,0,1,0,0,109,3,-1,-5,0,0,0,0
2210,15,78,3,-1,-5,45,1,-1,-5,2,1,-1,-5,2,1,-1,-5,0,1,-1,-5,0,1,-1,-10,0,1,-1,-3,38,1,-1,-5,0,0,0,0
2211,186,420,2,0,0,330,1,-1,-3,1,1,-1,-3,1,1,-1,-5,0,3,-1,-10,0,1,-1,-5,0,1,-1,-10,36,1,1,7,0,0,0,0
2212,162,53,4,1,5,3,1,1,5,4,1,1,5,1,1,1,5,0,2,1,20,0,2,1,5,0,1,1,5,76,2,1,5,0,0,0,0
2213,135,8,2,0,0,7,1,-1,-3,4,1,0,0,2,1,-1,-5,0,2,0,0,0,1,-1,-3,0,1,-1,-5,41,1,0,0,0,0,0,0
2214,112,268,3,1,5,285,1,1,5,3,1,1,5,2,1,1,5,0,2,1,5,0,1,-1,-5,0,1,-1,-10,38,1,1,5,0,0,0,0
2215,87,85,1,1,10,0,1,1,7,3,1,1,5,3,1,1,5,0,2,1,5,0,1,-1,-3,0,1,1,10,36,1,1,5,0,0,0,0
2216,65,5,2,0,0,4,1,-1,-3,10,3,-1,-5,4,2,-1,-5,0,3,0,0,0,1,0,0,0,1,-1,-3,78,2,0,0,0,0,0,0
2217,40,1,1,-1,-5,1,1,-1,-3,1,1,1,5,0,1,1,5,0,2,-1,-5,0,1,-1,-5,0,1,1,5,76,2,1,5,0,0,0,0
2218,16,13,1,0,0,45,1,-1,-10,0,1,0,0,4,1,0,0,0,2,-1,-5,0,4,0,0,0,1,-1,-3,110,3,0,0,0,0,0,0
2219,182,326,1,-1,-10,0,1,1,7,0,1,1,7,3,1,-1,-5,0,1,-1,-10,0,1,-1,-10,0,1,-1,-3,36,1,-1,-5,0,0,0,0
2220,158,17,1,-1,-5,27,4,1,5,8,2,1,5,0,1,1,5,0,1,1,10,0,1,1,10,0,1,-1,-3,75,2,1,5,0,0,0,0
2221,132,0,1,-1,-5,32,2,-1,-5,0,1,-1,-5,3,1,-1,-5,0,1,1,52,0,1,-1,-3,0,1,-1,-3,76,2,-1,-5,0,0,0,0
2222,112,148,1,1,5,0,1,1,7,3,1,1,5,3,1,1,5,0,1,1,35,0,1,-1,-3,0,1,-1,-10,35,1,1,5,0,0,0,0
2223,92,377,1,-1,-5,259,1,-1,-3,2,1,-1,-3,13,3,0,0,0,1,-1,-25,0,1,-1,-5,0,2,0,0,35,1,-1,-3,0,0,0,0
2224,70,15,1,-1,-5,4,1,1,5,0,1,1,7,4,1,1,5,0,3,1,15,0,1,1,5,0,1,-1,-10,118,3,1,5,0,0,0,0
2225,45,11,1,-1,-5,32,2,-1,-5,0,1,0,0,24,4,0,0,0,2,-1,-5,0,1,-1,-5,0,1,-1,-10,72,2,-1,-5,0,0,0,0
2226,180,13,1,0,0,61,2,0,0,4,1,0,0,6,1,-1,-10,0,1,0,0,0,1,0,0,0,1,-1,-10,73,2,0,0,0,0,0,0
2227,158,11,1,0,0,5,1,0,0,4,1,0,0,7,1,-1,-5,0,1,-1,-20,0,1,0,0,0,2,0,0,37,1,0,0,0,0,0,0
2228,135,770,2,0,0,1084,2,-1,-5,5,1,-1,-10,0,1,1,7,0,1,-1,-10,0,1,-1,-3,0,1,-1,-10,37,1,1,7,0,0,0,0
2229,112,747,2,-1,-5,516,1,-1,-5,6,1,-1,-10,5,1,-1,-10,0,1,-1,-10,0,1,-1,-3,0,2,-1,-5,37,1,0,0,0,0,0,0
2230,87,298,1,-1,-5,371,1,-1,-5,0,1,1,7,1,1,-1,-5,0,1,-1,-30,0,1,-1,-10,0,1,1,7,113,3,-1,-10,0,0,0,0
2231,65,140,1,1,5,107,1,1,5,3,1,1,5,3,1,1,5,0,1,1,30,0,1,1,7,0,1,1,5,40,1,1,5,0,0,0,0
2232,45,359,2,-1,-5,316,1,1,5,4,2,1,5,10,3,1,10,0,1,1,5,0,1,1,5,0,1,-1,-5,40,1,1,5,0,0,0,0
2233,182,0,1,1,7,28,4,-1,-5,9,2,-1,-5,20,2,-1,-5,0,2,-1,-5,0,1,-1,-5,0,1,-1,-5,115,3,-1,-5,0,0,0,0
2234,156,723,2,-1,-5,729,2,-1,-5,1,1,-1,-5,3,1,-1,-5,0,1,-1,-15,0,2,-1,-5,0,2,-1,-5,35,1,0,0,0,0,0,0
2235,131,7,1,0,0,28,3,0,0,4,1,0,0,2,1,-1,-5,0,1,-1,-5,0,1,-1,-5,0,1,-1,-3,37,1,-1,-5,0,0,0,0
2236,108,77,2,-1,-5,35,1,1,10,1,1,1,5,0,1,1,5,0,3,1,30,0,1,1,5,0,2,1,2,37,1,-1,-5,0,0,0,0
2237,80,38,3,0,0,30,1,0,0,0,1,1,7,0,1,1,7,0,3,0,0,0,1,0,0,0,1,-1,-10,37,1,0,0,0,0,0,0
2238,54,8,2,-1,-5,25,2,-1,-5,8,2,0,0,11,2,-1,-5,0,1,0,0,0,1,-1,-10,0,1,0,0,77,2,0,0,0,0,0,0
2239,29,16,2,1,5,6,1,-1,-3,4,1,1,5,4,1,1,5,0,3,1,5,0,1,-1,-10,0,1,-1,-3,35,1,-1,-5,0,0,0,0
2240,184,6,1,-1,-3,18,1,0,0,0,1,0,0,3,2,-1,-5,0,2,-1,-5,0,1,-1,-3,0,1,-1,-3,76,2,0,0,0,0,0,0
2241,163,7,3,0,0,0,1,-1,-3,3,2,0,0,6,1,-1,-5,0,2,-1,-5,0,1,-1,-3,0,1,1,7,109,3,0,0,0,0,0,0
2242,139,730,3,0,0,594,2,0,0,4,2,-1,-5,1,1,-1,-5,0,2,-1,-5,0,1,-1,-10,0,1,-1,-5,37,1,-1,-5,0,0,0,0
2243,114,181,1,1,5,240,1,1,5,4,2,1,5,2,1,1,5,0,1,1,5,0,1,1,5,0,1,1,5,35,1,1,5,0,0,0,0
2244,93,34,1,0,0,53,2,0,0,3,2,0,0,7,1,-1,-10,0,1,-1,-10,0,1,-1,-5,0,1,-1,-5,35,1,0,0,0,0,0,0
2245,68,51,2,-1,-5,2,1,-1,-5,3,1,-1,-10,17,2,-1,-5,0,2,-1,-10,0,1,-1,-5,0,2,-1,-5,35,1,-1,-3,0,0,0,0
2246,45,6,1,-1,-5,1,1,1,5,4,2,1,5,2,2,1,5,0,3,1,10,0,1,1,5,0,1,-1,-10,37,1,-1,-3,0,0,0,0
2247,19,317,1,0,0,214,1,-1,-5,4,2,-1,-5,1,1,-1,-5,0,1,-1,-10,0,1,-1,-3,0,1,-1,-5,39,1,-1,-5,0,0,0,0
2248,185,1320,2,1,5,908,1,1,5,3,2,1,5,6,1,1,10,0,1,1,50,0,1,-1,-3,0,1,1,5,35,1,1,10,0,0,0,0
2249,160,25,1,-1,-3,14,1,-1,-3,6,1,1,5,1,1,1,5,0,2,1,70,0,1,-1,-5,0,1,-1,-10,37,1,-1,-3,0,0,0,0
