ronda_num,agente_nombre,capital_inicial_ronda,capital_final_ronda,ganancia_neta_ronda,apuesta_total_ronda,resultado_ronda,cartas_restantes_mazo
4386,AgenteBasico,89996029,89996029,0,5,0,91
4387,AgenteBasico,89996029,89996024,-5,5,-1,87
4388,AgenteBasico,89996024,89996019,-5,5,-1,82
4389,AgenteBasico,89996019,89996024,5,5,1,75
4390,AgenteBasico,89996024,89996019,-5,5,-1,70
4391,AgenteBasico,89996019,89996024,5,5,1,63
4392,AgenteBasico,89996024,89996019,-5,5,-1,56
4393,AgenteBasico,89996019,89996019,0,5,0,52
4394,AgenteBasico,89996019,89996014,-5,5,-1,47
4395,AgenteBasico,89996014,89996009,-5,5,-1,42
4396,AgenteBasico,89996009,89996014,5,5,1,37
4397,AgenteBasico,89996014,89996014,0,5,0,31
4398,AgenteBasico,89996014,89996014,0,5,0,204
4399,AgenteBasico,89996014,89996019,5,5,1,200
4400,AgenteBasico,89996019,89996014,-5,5,-1,195
4401,AgenteBasico,89996014,89996019,5,5,1,188
4402,AgenteBasico,89996019,89996014,-5,5,-1,181
4403,AgenteBasico,89996014,89996021,7,5,1,175
4404,AgenteBasico,89996021,89996031,10,10,1,169
4405,AgenteBasico,89996031,89996036,5,5,1,163
4406,AgenteBasico,89996036,89996031,-5,5,-1,158
4407,AgenteBasico,89996031,89996036,5,5,1,152
4408,AgenteBasico,89996036,89996031,-5,5,-1,147
4409,AgenteBasico,89996031,89996026,-5,5,-1,141
4410,AgenteBasico,89996026,89996026,0,5,0,136
4411,AgenteBasico,89996026,89996026,0,10,0,132
4412,AgenteBasico,89996026,89996021,-5,5,-1,126
4413,AgenteBasico,89996021,89996021,0,5,0,119
4414,AgenteBasico,89996021,89996021,0,10,0,113
4415,AgenteBasico,89996021,89996021,0,5,0,106
4416,AgenteBasico,89996021,89996021,0,5,0,102
4417,AgenteBasico,89996021,89996016,-5,5,-1,98
4418,AgenteBasico,89996016,89996011,-5,5,-1,93
4419,AgenteBasico,89996011,89996011,0,5,0,88
4420,AgenteBasico,89996011,89996011,0,5,0,82
4421,AgenteBasico,89996011,89996006,-5,5,-1,78
4422,AgenteBasico,89996006,89996001,-5,5,-1,74
4423,AgenteBasico,89996001,89996001,0,5,0,68
4424,AgenteBasico,89996001,89996006,5,5,1,63
4425,AgenteBasico,89996006,89996006,0,5,0,56
4426,AgenteBasico,89996006,89996003,-3,0,-1,51
4427,AgenteBasico,89996003,89995998,-5,5,-1,204
4428,AgenteBasico,89995998,89996003,5,5,1,199
4429,AgenteBasico,89996003,89996003,0,5,0,192
4430,AgenteBasico,89996003,89996003,0,5,0,187
4431,AgenteBasico,89996003,89995993,-10,10,-1,183
4432,AgenteBasico,89995993,89995993,0,5,0,178
