mano_valor,mano_es_blanda,mano_apuesta,mano_num_cartas,mano_es_par_divisible,agente_nombre,agente_capital_inicial,dealer_valor_carta,accion_tomada,ganancia_neta,conteo_cartas,recompensa_normalizada
17,False,580,3,False,AgenteAleatorio1,77296,10,DOBLAR,580,None,1.0
5,False,472,2,False,AgenteAleatorio1,77876,2,PLANTARSE,-472,None,-1.0
13,False,111,2,False,AgenteAleatorio1,77404,5,PEDIR,-111,None,-1.0
14,False,111,3,False,AgenteAleatorio1,77404,5,PEDIR,-111,None,-1.0
15,False,583,2,False,AgenteAleatorio1,77293,4,RENDIRSE,-291,None,-0.49914236706689535
19,False,460,2,False,AgenteAleatorio1,77001,10,PLANTARSE,-460,None,-1.0
12,False,693,2,False,AgenteAleatorio1,76541,4,DOBLAR,1386,None,2.0
7,False,455,2,False,AgenteAleatorio1,77927,7,RENDIRSE,-227,None,-0.4989010989010989
19,False,743,2,False,AgenteAleatorio1,77699,7,RENDIRSE,-371,None,-0.4993270524899058
15,False,485,2,False,AgenteAleatorio1,77327,11,RENDIRSE,-242,None,-0.49896907216494846
16,False,768,2,False,AgenteAleatorio1,77084,10,PLANTARSE,768,None,1.0
7,False,400,2,False,AgenteAleatorio1,77852,11,PLANTARSE,-400,None,-1.0
15,False,765,2,False,AgenteAleatorio1,77452,3,PEDIR,-765,None,-1.0
17,False,389,2,False,AgenteAleatorio1,76687,5,DIVIDIR,-389,None,-1.0
14,False,311,2,False,AgenteAleatorio1,76298,7,RENDIRSE,-155,None,-0.4983922829581994
10,False,473,2,False,AgenteAleatorio1,76142,11,PLANTARSE,-473,None,-1.0
15,True,14,2,False,AgenteAleatorio1,75669,10,DOBLAR,-28,None,-2.0
19,False,681,2,False,AgenteAleatorio1,75641,2,PLANTARSE,681,None,1.0
9,False,650,2,False,AgenteAleatorio1,76322,8,RENDIRSE,-325,None,-0.5
10,False,224,2,False,AgenteAleatorio1,75997,10,DIVIDIR,-224,None,-1.0
13,False,719,2,False,AgenteAleatorio1,75773,7,RENDIRSE,-359,None,-0.4993045897079277
16,False,290,2,True,AgenteAleatorio1,75413,6,DOBLAR,-580,None,-2.0
19,False,418,2,False,AgenteAleatorio1,74833,5,RENDIRSE,-209,None,-0.5
