n_trees,train_acc,val_acc,train_loss,val_loss,f1_macro_train,f1_macro_val
52,0.8745937001359257,0.871756988357662,0.37346836532753813,0.3888155517114142,0.8038934263169398,0.8013542178942984
54,0.8745346019738787,0.8713433012233319,0.37351507964267294,0.3888895472777442,0.8033502474508734,0.7980096502330407
56,0.8745149025865295,0.8714023993853791,0.3734821885850735,0.38883514903117455,0.8034233359564288,0.7984576612479302
58,0.8745740007485767,0.871756988357662,0.37352629118995345,0.3889189484791442,0.8040778930140163,0.8012810818767546
60,0.8745740007485767,0.8714614975474263,0.3733215459796287,0.38877755397659,0.8039007811487624,0.7984850334605327
62,0.8744361050371333,0.8718751846817564,0.37317693892041165,0.38872760039914234,0.802593130873516,0.8013344797104818
64,0.8743770068750862,0.8718751846817564,0.37330262508664447,0.388767914552801,0.8025159371636533,0.8013441539803654
66,0.8744755038118315,0.8719933810058507,0.37303811236445816,0.38854180385084813,0.8033840536497106,0.802227528552011
68,0.8745543013612277,0.872111577329945,0.37315090536864576,0.38865717800753885,0.803506723650908,0.8023549635479938
70,0.8742785099383409,0.8719342828438036,0.37323286797046684,0.3885999175687226,0.8012297397562046,0.8016147875070972
72,0.8741800130015956,0.8718160865197092,0.37305891778827416,0.3885016284217145,0.8008824318309312,0.8014874631782026
74,0.8749482891082088,0.8726434607883695,0.3731263829745156,0.38857698910023186,0.8007672097533373,0.8011291311378426
76,0.8751058842070012,0.8728798534365582,0.37284146226651593,0.3883137380809466,0.8016936975214382,0.8021487113387247
78,0.875066485432303,0.8727616571124638,0.37323627674826376,0.38873692178691316,0.8018386989037506,0.8020217231523781
80,0.8750861848196521,0.8728798534365582,0.3733344474567155,0.388836612619053,0.8015419055931481,0.8021487113387247
82,0.8750861848196521,0.8728798534365582,0.37316728024042894,0.3887414841885521,0.8015419055931481,0.8021487113387247
84,0.8750861848196521,0.872820755274511,0.37291078512381426,0.38854551749682287,0.801391728335029,0.8021119024990743
86,0.875027086657605,0.8727616571124638,0.37277465004438914,0.3884655763195129,0.8007939400396553,0.8013295904959064
88,0.875066485432303,0.8727616571124638,0.372597089404995,0.38826234404347926,0.80123958316961,0.801663779049701
90,0.8741800130015956,0.8716978901956149,0.37282263810552974,0.38838079548866483,0.8001749025828735,0.8002317717349584
92,0.8749876878829068,0.8727025589504166,0.3730290483635528,0.38847070709440606,0.8004866483160986,0.8008762354676794
94,0.8750073872702558,0.8728798534365582,0.3728020943680068,0.3882553815512157,0.8009456015585318,0.8018014082089134
96,0.875027086657605,0.8729389515986052,0.3728664380826695,0.38825332185149536,0.8012459696276284,0.8018382164703747
98,0.8749876878829068,0.8729389515986052,0.37289495993741234,0.3882596917411052,0.8009438156082889,0.8018382164703747
100,0.875046786044954,0.8729389515986052,0.372666014480665,0.38809645351650673,0.8012504210460764,0.8022495367568243
102,0.875046786044954,0.8729389515986052,0.37252480745530014,0.3879856857661924,0.8012832672035725,0.8022495367568243
104,0.8751058842070012,0.8729389515986052,0.37230052322125723,0.3877300160748336,0.8013991533661873,0.8022495367568243
106,0.8750861848196521,0.8729389515986052,0.37213232535087676,0.38762859532197774,0.8013025190100296,0.8022495367568243
108,0.8750861848196521,0.8728798534365582,0.372074594794922,0.38757568181935814,0.8013038532946786,0.8018053910404968
110,0.8751255835943502,0.872820755274511,0.3723211619381818,0.387738515999974,0.8016057839785315,0.8013597044436018
112,0.8751452829816992,0.872820755274511,0.3723955507592569,0.38781834515422675,0.8017578190924715,0.8013597044436018
114,0.8750861848196521,0.8729389515986052,0.3724671800119298,0.38792840009667334,0.8013890046060113,0.8022495367568243
116,0.8750861848196521,0.872820755274511,0.37232379234637203,0.3878075154977518,0.8013890046060113,0.801301846634136
118,0.875046786044954,0.872820755274511,0.37236492976548696,0.38784407936943766,0.8010862999952616,0.801301846634136
120,0.875027086657605,0.872820755274511,0.3724001713846898,0.38785466600294116,0.800989732080431,0.801301846634136
122,0.875027086657605,0.872820755274511,0.3725971399264987,0.3880475003074659,0.800989732080431,0.801301846634136
124,0.875027086657605,0.8727616571124638,0.3723393267223194,0.38778371491426794,0.800989732080431,0.8011915640731699
126,0.8750861848196521,0.8727616571124638,0.3722382532525875,0.38770639466402057,0.8013890046060113,0.8011915640731699
128,0.8751058842070012,0.872820755274511,0.37202281619968136,0.3874989802643182,0.801594300944714,0.8016372519323847
130,0.8751255835943502,0.8728798534365582,0.37202731455812915,0.38750722083160366,0.8016910011364278,0.8017475344933509
132,0.8751255835943502,0.8728798534365582,0.3718727672601703,0.3873568251803934,0.8016910011364278,0.8017475344933509
134,0.875046786044954,0.8727616571124638,0.37187986640858123,0.38734954801205723,0.8009404705160195,0.8008499570693225
136,0.875027086657605,0.8727025589504166,0.37193084331680126,0.38739143695585454,0.8007893014482386,0.8003990075612087
138,0.875027086657605,0.8727025589504166,0.3720072900879346,0.3874527568502972,0.8007893014482386,0.8003990075612087
140,0.875046786044954,0.8726434607883695,0.37197829507726327,0.3874282331845955,0.8009222077722569,0.8002887250002427
